Prompt,Denormalized Prompt,Normalized Sequence,Denormalized Sequence,Pronunication Class,Speaker ID,split,prompt_path,seq_path,prompt_path_audio,seq_path_audio
278,two seven eight,pfd8pr,p ef dee eight p arr,GroupedGenericPronunciation,p279,train,dump/alphanumeric_features/8765_prompt.pth,dump/alphanumeric_features/8765_seq.pth,dump/alphanumeric/8765_prompt.wav,dump/alphanumeric/8765_seq.wav
c0hz,see zero h zed,x5sllb,x faaev es double el bee,GroupedGenericPronunciation,p270,train,dump/alphanumeric_features/8766_prompt.pth,dump/alphanumeric_features/8766_seq.pth,dump/alphanumeric/8766_prompt.wav,dump/alphanumeric/8766_seq.wav
uddy,you double dee y,4czux4,four see z you x four,GroupedGenericPronunciation,p326,train,dump/alphanumeric_features/8767_prompt.pth,dump/alphanumeric_features/8767_seq.pth,dump/alphanumeric/8767_prompt.wav,dump/alphanumeric/8767_seq.wav
sjy,es j wai,tlstgg,tee l es tee double jee,GroupedGenericPronunciation,p288,train,dump/alphanumeric_features/8768_prompt.pth,dump/alphanumeric_features/8768_seq.pth,dump/alphanumeric/8768_prompt.wav,dump/alphanumeric/8768_seq.wav
nt,n tee,ypr0k2,wai p r zero kay too,GroupedGenericPronunciation,p285,train,dump/alphanumeric_features/8769_prompt.pth,dump/alphanumeric_features/8769_seq.pth,dump/alphanumeric/8769_prompt.wav,dump/alphanumeric/8769_seq.wav
50,faaev zero,z0d8bu,zee zero dee eight bee you,GroupedGenericPronunciation,p343,train,dump/alphanumeric_features/8770_prompt.pth,dump/alphanumeric_features/8770_seq.pth,dump/alphanumeric/8770_prompt.wav,dump/alphanumeric/8770_seq.wav
861,eight six one,ud1z5t,uu dee one zee faaev tee,GroupedGenericPronunciation,p323,train,dump/alphanumeric_features/8772_prompt.pth,dump/alphanumeric_features/8772_seq.pth,dump/alphanumeric/8772_prompt.wav,dump/alphanumeric/8772_seq.wav
0bua,zero bee you ae,ch3dn4,see h three dee en fo,GroupedGenericPronunciation,p313,train,dump/alphanumeric_features/8774_prompt.pth,dump/alphanumeric_features/8774_seq.pth,dump/alphanumeric/8774_prompt.wav,dump/alphanumeric/8774_seq.wav
50,faaev zero,ulroq0,uu el arr o cuu zero,GroupedGenericPronunciation,p277,train,dump/alphanumeric_features/8775_prompt.pth,dump/alphanumeric_features/8775_seq.pth,dump/alphanumeric/8775_prompt.wav,dump/alphanumeric/8775_seq.wav
m6lx,em six l eks,h9mp0v,aeych nine em p zero wee,GroupedGenericPronunciation,p284,train,dump/alphanumeric_features/8777_prompt.pth,dump/alphanumeric_features/8777_seq.pth,dump/alphanumeric/8777_prompt.wav,dump/alphanumeric/8777_seq.wav
qq,double q,hgpmyq,aeych jee p am y q,GroupedGenericPronunciation,p254,train,dump/alphanumeric_features/8778_prompt.pth,dump/alphanumeric_features/8778_seq.pth,dump/alphanumeric/8778_prompt.wav,dump/alphanumeric/8778_seq.wav
751,seven faaev one,ukyk73,uu kay wai kay seven three,GroupedGenericPronunciation,p307,train,dump/alphanumeric_features/8779_prompt.pth,dump/alphanumeric_features/8779_seq.pth,dump/alphanumeric/8779_prompt.wav,dump/alphanumeric/8779_seq.wav
j0,jay zero,aqofp1,ae cuu o ef pee one,GroupedGenericPronunciation,p255,train,dump/alphanumeric_features/8780_prompt.pth,dump/alphanumeric_features/8780_seq.pth,dump/alphanumeric/8780_prompt.wav,dump/alphanumeric/8780_seq.wav
751,seven faaev one,b9bbsw,bee nine double bee es double you,GroupedGenericPronunciation,p330,train,dump/alphanumeric_features/8782_prompt.pth,dump/alphanumeric_features/8782_seq.pth,dump/alphanumeric/8782_prompt.wav,dump/alphanumeric/8782_seq.wav
66,double six,psjz01,p s jay z zero one,GroupedGenericPronunciation,p269,train,dump/alphanumeric_features/8784_prompt.pth,dump/alphanumeric_features/8784_seq.pth,dump/alphanumeric/8784_prompt.wav,dump/alphanumeric/8784_seq.wav
chzg,see aeych zee jee,udwzp3,uu dee double u zee pee three,GroupedGenericPronunciation,p345,train,dump/alphanumeric_features/8785_prompt.pth,dump/alphanumeric_features/8785_seq.pth,dump/alphanumeric/8785_prompt.wav,dump/alphanumeric/8785_seq.wav
57,five seven,xsg34t,x es jee three fo tee,GroupedGenericPronunciation,p336,train,dump/alphanumeric_features/8786_prompt.pth,dump/alphanumeric_features/8786_seq.pth,dump/alphanumeric/8786_prompt.wav,dump/alphanumeric/8786_seq.wav
ua0,you ae zero,rse7p1,r s ee seven pee one,GroupedGenericPronunciation,p288,train,dump/alphanumeric_features/8787_prompt.pth,dump/alphanumeric_features/8787_seq.pth,dump/alphanumeric/8787_prompt.wav,dump/alphanumeric/8787_seq.wav
hi,aeych eye,nsndh6,en es en dee aeych six,GroupedGenericPronunciation,p300,train,dump/alphanumeric_features/8789_prompt.pth,dump/alphanumeric_features/8789_seq.pth,dump/alphanumeric/8789_prompt.wav,dump/alphanumeric/8789_seq.wav
2h5,too aeych five,w7vys7,double you seven wee why es seven,GroupedGenericPronunciation,p263,train,dump/alphanumeric_features/8790_prompt.pth,dump/alphanumeric_features/8790_seq.pth,dump/alphanumeric/8790_prompt.wav,dump/alphanumeric/8790_seq.wav
751,seven five one,qwhlk8,cuu double u h l kay eight,GroupedGenericPronunciation,p253,train,dump/alphanumeric_features/8791_prompt.pth,dump/alphanumeric_features/8791_seq.pth,dump/alphanumeric/8791_prompt.wav,dump/alphanumeric/8791_seq.wav
016,zero one six,8m0f8k,eight m zero ef eight k,GroupedGenericPronunciation,p308,train,dump/alphanumeric_features/8792_prompt.pth,dump/alphanumeric_features/8792_seq.pth,dump/alphanumeric/8792_prompt.wav,dump/alphanumeric/8792_seq.wav
sgct,s jee see tee,hxtzh7,aeych x ti z aeych seven,GroupedGenericPronunciation,p248,train,dump/alphanumeric_features/8793_prompt.pth,dump/alphanumeric_features/8793_seq.pth,dump/alphanumeric/8793_prompt.wav,dump/alphanumeric/8793_seq.wav
2h5,two aeych faaev,esodnh,ee s oo dee aen aeych,GroupedGenericPronunciation,p313,train,dump/alphanumeric_features/8794_prompt.pth,dump/alphanumeric_features/8794_seq.pth,dump/alphanumeric/8794_prompt.wav,dump/alphanumeric/8794_seq.wav
mi,am eye,tckpwp,tee see k pee double u pee,GroupedGenericPronunciation,p323,train,dump/alphanumeric_features/8795_prompt.pth,dump/alphanumeric_features/8795_seq.pth,dump/alphanumeric/8795_prompt.wav,dump/alphanumeric/8795_seq.wav
zh,zee haych,cyvurt,see why wee uu arr ti,GroupedGenericPronunciation,p270,train,dump/alphanumeric_features/8797_prompt.pth,dump/alphanumeric_features/8797_seq.pth,dump/alphanumeric/8797_prompt.wav,dump/alphanumeric/8797_seq.wav
uddy,uu double dee why,kbhouw,kay bee aeych oh you double u,GroupedGenericPronunciation,p361,train,dump/alphanumeric_features/8798_prompt.pth,dump/alphanumeric_features/8798_seq.pth,dump/alphanumeric/8798_prompt.wav,dump/alphanumeric/8798_seq.wav
14,one fo,8cwrkj,eight see double you arr k jay,GroupedGenericPronunciation,p269,train,dump/alphanumeric_features/8800_prompt.pth,dump/alphanumeric_features/8800_seq.pth,dump/alphanumeric/8800_prompt.wav,dump/alphanumeric/8800_seq.wav
xadw,x ae dee double u,ffd6o6,double ef dee six oh six,GroupedGenericPronunciation,p300,train,dump/alphanumeric_features/8801_prompt.pth,dump/alphanumeric_features/8801_seq.pth,dump/alphanumeric/8801_prompt.wav,dump/alphanumeric/8801_seq.wav
46,four six,t59n32,ti faaev nine en three two,GroupedGenericPronunciation,p305,train,dump/alphanumeric_features/8802_prompt.pth,dump/alphanumeric_features/8802_seq.pth,dump/alphanumeric/8802_prompt.wav,dump/alphanumeric/8802_seq.wav
2h5,two h five,dmiuiv,dee em eye uu i v,GroupedGenericPronunciation,p265,train,dump/alphanumeric_features/8803_prompt.pth,dump/alphanumeric_features/8803_seq.pth,dump/alphanumeric/8803_prompt.wav,dump/alphanumeric/8803_seq.wav
em,ee em,swrc2i,es double you aar see two i,GroupedGenericPronunciation,p288,train,dump/alphanumeric_features/8804_prompt.pth,dump/alphanumeric_features/8804_seq.pth,dump/alphanumeric/8804_prompt.wav,dump/alphanumeric/8804_seq.wav
aa00,double ae double zero,iwx6gn,eye double you eks six jee n,GroupedGenericPronunciation,p293,train,dump/alphanumeric_features/8805_prompt.pth,dump/alphanumeric_features/8805_seq.pth,dump/alphanumeric/8805_prompt.wav,dump/alphanumeric/8805_seq.wav
016,zero one six,u869xv,you eight six nine x v,GroupedGenericPronunciation,p300,train,dump/alphanumeric_features/8806_prompt.pth,dump/alphanumeric_features/8806_seq.pth,dump/alphanumeric/8806_prompt.wav,dump/alphanumeric/8806_seq.wav
ef,ee ef,ux57r3,uu eks five seven arr three,GroupedGenericPronunciation,p257,train,dump/alphanumeric_features/8807_prompt.pth,dump/alphanumeric_features/8807_seq.pth,dump/alphanumeric/8807_prompt.wav,dump/alphanumeric/8807_seq.wav
918,nine one eight,8haly2,eight haych ae el y too,GroupedGenericPronunciation,p314,train,dump/alphanumeric_features/8808_prompt.pth,dump/alphanumeric_features/8808_seq.pth,dump/alphanumeric/8808_prompt.wav,dump/alphanumeric/8808_seq.wav
uddy,uu double dee y,k203fi,kay two zero three ef eye,GroupedGenericPronunciation,p307,train,dump/alphanumeric_features/8809_prompt.pth,dump/alphanumeric_features/8809_seq.pth,dump/alphanumeric/8809_prompt.wav,dump/alphanumeric/8809_seq.wav
lbf,el bee ef,pt0xd9,pee ti zero eks dee nine,GroupedGenericPronunciation,p248,train,dump/alphanumeric_features/8810_prompt.pth,dump/alphanumeric_features/8810_seq.pth,dump/alphanumeric/8810_prompt.wav,dump/alphanumeric/8810_seq.wav
g5,jee five,hd9g3m,haych dee nine jee three em,GroupedGenericPronunciation,p308,train,dump/alphanumeric_features/8811_prompt.pth,dump/alphanumeric_features/8811_seq.pth,dump/alphanumeric/8811_prompt.wav,dump/alphanumeric/8811_seq.wav
9q,nine cuu,t0v186,ti zero v one eight six,GroupedGenericPronunciation,p345,train,dump/alphanumeric_features/8812_prompt.pth,dump/alphanumeric_features/8812_seq.pth,dump/alphanumeric/8812_prompt.wav,dump/alphanumeric/8812_seq.wav
q3v,q three wee,cucnom,see you see aen oh em,GroupedGenericPronunciation,p268,train,dump/alphanumeric_features/8814_prompt.pth,dump/alphanumeric_features/8814_seq.pth,dump/alphanumeric/8814_prompt.wav,dump/alphanumeric/8814_seq.wav
lbf,el bee ef,kzpll1,k z p double l one,GroupedGenericPronunciation,p270,train,dump/alphanumeric_features/8815_prompt.pth,dump/alphanumeric_features/8815_seq.pth,dump/alphanumeric/8815_prompt.wav,dump/alphanumeric/8815_seq.wav
udb,you dee bee,slgx71,s l jee x seven one,GroupedGenericPronunciation,p314,train,dump/alphanumeric_features/8816_prompt.pth,dump/alphanumeric_features/8816_seq.pth,dump/alphanumeric/8816_prompt.wav,dump/alphanumeric/8816_seq.wav
lbm,l bee m,9ryot9,nine r why oo ti nine,GroupedGenericPronunciation,p330,train,dump/alphanumeric_features/8817_prompt.pth,dump/alphanumeric_features/8817_seq.pth,dump/alphanumeric/8817_prompt.wav,dump/alphanumeric/8817_seq.wav
c0hz,see zero haych zed,tvc6wa,tee v see six double you ae,GroupedGenericPronunciation,p330,train,dump/alphanumeric_features/8818_prompt.pth,dump/alphanumeric_features/8818_seq.pth,dump/alphanumeric/8818_prompt.wav,dump/alphanumeric/8818_seq.wav
duq,dee you q,z2ug8d,zed two uu jee eight dee,GroupedGenericPronunciation,p275,train,dump/alphanumeric_features/8819_prompt.pth,dump/alphanumeric_features/8819_seq.pth,dump/alphanumeric/8819_prompt.wav,dump/alphanumeric/8819_seq.wav
lef,l ee ef,tuw9o5,ti you double u nine o five,GroupedGenericPronunciation,p329,train,dump/alphanumeric_features/8823_prompt.pth,dump/alphanumeric_features/8823_seq.pth,dump/alphanumeric/8823_prompt.wav,dump/alphanumeric/8823_seq.wav
97,nine seven,a2mggl,ae too m double jee el,GroupedGenericPronunciation,p323,train,dump/alphanumeric_features/8824_prompt.pth,dump/alphanumeric_features/8824_seq.pth,dump/alphanumeric/8824_prompt.wav,dump/alphanumeric/8824_seq.wav
xadw,eks ae dee double you,rue4yu,arr uu ee fo why uu,GroupedGenericPronunciation,p270,train,dump/alphanumeric_features/8825_prompt.pth,dump/alphanumeric_features/8825_seq.pth,dump/alphanumeric/8825_prompt.wav,dump/alphanumeric/8825_seq.wav
848,eight four eight,qm3zq9,cuu am three zed q nine,GroupedGenericPronunciation,p282,train,dump/alphanumeric_features/8829_prompt.pth,dump/alphanumeric_features/8829_seq.pth,dump/alphanumeric/8829_prompt.wav,dump/alphanumeric/8829_seq.wav
xadw,x ae dee double you,ey1bpt,ee why one bee p tee,GroupedGenericPronunciation,p376,train,dump/alphanumeric_features/8830_prompt.pth,dump/alphanumeric_features/8830_seq.pth,dump/alphanumeric/8830_prompt.wav,dump/alphanumeric/8830_seq.wav
uddy,uu double dee why,811anr,eight double one ae en arr,GroupedGenericPronunciation,p312,train,dump/alphanumeric_features/8831_prompt.pth,dump/alphanumeric_features/8831_seq.pth,dump/alphanumeric/8831_prompt.wav,dump/alphanumeric/8831_seq.wav
092,zero nine too,bt9r15,bee ti nine aar one faaev,GroupedGenericPronunciation,p313,train,dump/alphanumeric_features/8832_prompt.pth,dump/alphanumeric_features/8832_seq.pth,dump/alphanumeric/8832_prompt.wav,dump/alphanumeric/8832_seq.wav
7297,seven two nine seven,uvhn1z,uu v aeych aen one z,GroupedGenericPronunciation,p304,train,dump/alphanumeric_features/8833_prompt.pth,dump/alphanumeric_features/8833_seq.pth,dump/alphanumeric/8833_prompt.wav,dump/alphanumeric/8833_seq.wav
kstf,kay es tee ef,q4n8ih,q four n eight eye haych,GroupedGenericPronunciation,p263,train,dump/alphanumeric_features/8834_prompt.pth,dump/alphanumeric_features/8834_seq.pth,dump/alphanumeric/8834_prompt.wav,dump/alphanumeric/8834_seq.wav
14,one four,bx38bz,bee x three eight bee zed,GroupedGenericPronunciation,p363,train,dump/alphanumeric_features/8835_prompt.pth,dump/alphanumeric_features/8835_seq.pth,dump/alphanumeric/8835_prompt.wav,dump/alphanumeric/8835_seq.wav
97,nine seven,ar4krn,ae r fo kay arr n,GroupedGenericPronunciation,p251,train,dump/alphanumeric_features/8836_prompt.pth,dump/alphanumeric_features/8836_seq.pth,dump/alphanumeric/8836_prompt.wav,dump/alphanumeric/8836_seq.wav
0bua,zero bee uu ae,5zk6k5,five zed kay six k five,GroupedGenericPronunciation,p317,train,dump/alphanumeric_features/8837_prompt.pth,dump/alphanumeric_features/8837_seq.pth,dump/alphanumeric/8837_prompt.wav,dump/alphanumeric/8837_seq.wav
ttqm,double tee q em,unb65m,uu n bee six faaev em,GroupedGenericPronunciation,p249,train,dump/alphanumeric_features/8838_prompt.pth,dump/alphanumeric_features/8838_seq.pth,dump/alphanumeric/8838_prompt.wav,dump/alphanumeric/8838_seq.wav
74,seven fo,0vt1vu,zero v tee one wee you,GroupedGenericPronunciation,p306,train,dump/alphanumeric_features/8840_prompt.pth,dump/alphanumeric_features/8840_seq.pth,dump/alphanumeric/8840_prompt.wav,dump/alphanumeric/8840_seq.wav
731,seven three one,du3zew,dee you three zed ee double you,GroupedGenericPronunciation,p301,train,dump/alphanumeric_features/8841_prompt.pth,dump/alphanumeric_features/8841_seq.pth,dump/alphanumeric/8841_prompt.wav,dump/alphanumeric/8841_seq.wav
751,seven five one,rr2k2u,double arr too k too uu,GroupedGenericPronunciation,p287,train,dump/alphanumeric_features/8842_prompt.pth,dump/alphanumeric_features/8842_seq.pth,dump/alphanumeric/8842_prompt.wav,dump/alphanumeric/8842_seq.wav
0bua,zero bee you ae,eqly83,ee q el why eight three,GroupedGenericPronunciation,p326,train,dump/alphanumeric_features/8843_prompt.pth,dump/alphanumeric_features/8843_seq.pth,dump/alphanumeric/8843_prompt.wav,dump/alphanumeric/8843_seq.wav
3sk,three s k,3i4is4,three i four eye s four,GroupedGenericPronunciation,p297,train,dump/alphanumeric_features/8845_prompt.pth,dump/alphanumeric_features/8845_seq.pth,dump/alphanumeric/8845_prompt.wav,dump/alphanumeric/8845_seq.wav
tyo,ti y o,2anqug,two ae en q you jee,GroupedGenericPronunciation,p283,train,dump/alphanumeric_features/8846_prompt.pth,dump/alphanumeric_features/8846_seq.pth,dump/alphanumeric/8846_prompt.wav,dump/alphanumeric/8846_seq.wav
384,three eight four,8zm5v5,eight zed em five v five,GroupedGenericPronunciation,p307,train,dump/alphanumeric_features/8847_prompt.pth,dump/alphanumeric_features/8847_seq.pth,dump/alphanumeric/8847_prompt.wav,dump/alphanumeric/8847_seq.wav
m7,m seven,j3vnro,jay three wee en arr oo,GroupedGenericPronunciation,p249,train,dump/alphanumeric_features/8848_prompt.pth,dump/alphanumeric_features/8848_seq.pth,dump/alphanumeric/8848_prompt.wav,dump/alphanumeric/8848_seq.wav
hi,h i,rlkbih,arr l kay bee i h,GroupedGenericPronunciation,p340,train,dump/alphanumeric_features/8851_prompt.pth,dump/alphanumeric_features/8851_seq.pth,dump/alphanumeric/8851_prompt.wav,dump/alphanumeric/8851_seq.wav
hi,haych eye,k7lbgu,kay seven el bee jee uu,GroupedGenericPronunciation,p257,train,dump/alphanumeric_features/8852_prompt.pth,dump/alphanumeric_features/8852_seq.pth,dump/alphanumeric/8852_prompt.wav,dump/alphanumeric/8852_seq.wav
duq,dee uu q,kvgjvv,kay wee jee j double wee,GroupedGenericPronunciation,p302,train,dump/alphanumeric_features/8853_prompt.pth,dump/alphanumeric_features/8853_seq.pth,dump/alphanumeric/8853_prompt.wav,dump/alphanumeric/8853_seq.wav
udb,you dee bee,bsz329,bee es zed three too nine,GroupedGenericPronunciation,p280,train,dump/alphanumeric_features/8854_prompt.pth,dump/alphanumeric_features/8854_seq.pth,dump/alphanumeric/8854_prompt.wav,dump/alphanumeric/8854_seq.wav
875,eight seven five,32y2zf,three two wai two zee ef,GroupedGenericPronunciation,p274,train,dump/alphanumeric_features/8856_prompt.pth,dump/alphanumeric_features/8856_seq.pth,dump/alphanumeric/8856_prompt.wav,dump/alphanumeric/8856_seq.wav
oqby,o cuu bee wai,37a4in,three seven ae four i en,GroupedGenericPronunciation,p362,train,dump/alphanumeric_features/8857_prompt.pth,dump/alphanumeric_features/8857_seq.pth,dump/alphanumeric/8857_prompt.wav,dump/alphanumeric/8857_seq.wav
150,one five zero,sftzbu,s ef tee zed bee uu,GroupedGenericPronunciation,p314,train,dump/alphanumeric_features/8858_prompt.pth,dump/alphanumeric_features/8858_seq.pth,dump/alphanumeric/8858_prompt.wav,dump/alphanumeric/8858_seq.wav
er,ee aar,tdndx6,ti dee en dee x six,GroupedGenericPronunciation,p307,train,dump/alphanumeric_features/8859_prompt.pth,dump/alphanumeric_features/8859_seq.pth,dump/alphanumeric/8859_prompt.wav,dump/alphanumeric/8859_seq.wav
m7,m seven,9i0ym9,nine i zero wai m nine,GroupedGenericPronunciation,p267,train,dump/alphanumeric_features/8860_prompt.pth,dump/alphanumeric_features/8860_seq.pth,dump/alphanumeric/8860_prompt.wav,dump/alphanumeric/8860_seq.wav
bai,bee ae i,nv2qz0,aen v too q z zero,GroupedGenericPronunciation,p326,train,dump/alphanumeric_features/8861_prompt.pth,dump/alphanumeric_features/8861_seq.pth,dump/alphanumeric/8861_prompt.wav,dump/alphanumeric/8861_seq.wav
izo,i zee o,h2jizn,aeych too j eye zee en,GroupedGenericPronunciation,p286,train,dump/alphanumeric_features/8862_prompt.pth,dump/alphanumeric_features/8862_seq.pth,dump/alphanumeric/8862_prompt.wav,dump/alphanumeric/8862_seq.wav
m7,am seven,qb8ml4,cuu bee eight am l four,GroupedGenericPronunciation,p343,train,dump/alphanumeric_features/8863_prompt.pth,dump/alphanumeric_features/8863_seq.pth,dump/alphanumeric/8863_prompt.wav,dump/alphanumeric/8863_seq.wav
mi,em i,3goosb,three jee double oh s bee,GroupedGenericPronunciation,p333,train,dump/alphanumeric_features/8864_prompt.pth,dump/alphanumeric_features/8864_seq.pth,dump/alphanumeric/8864_prompt.wav,dump/alphanumeric/8864_seq.wav
14,one fo,q0ikwh,cuu zero eye kay double u h,GroupedGenericPronunciation,p343,train,dump/alphanumeric_features/8865_prompt.pth,dump/alphanumeric_features/8865_seq.pth,dump/alphanumeric/8865_prompt.wav,dump/alphanumeric/8865_seq.wav
puuy,p double you why,zz4z2p,double z fo z too p,GroupedGenericPronunciation,p281,train,dump/alphanumeric_features/8866_prompt.pth,dump/alphanumeric_features/8866_seq.pth,dump/alphanumeric/8866_prompt.wav,dump/alphanumeric/8866_seq.wav
ttqm,double tee q em,zqzpnu,z cuu z p n you,GroupedGenericPronunciation,p256,train,dump/alphanumeric_features/8867_prompt.pth,dump/alphanumeric_features/8867_seq.pth,dump/alphanumeric/8867_prompt.wav,dump/alphanumeric/8867_seq.wav
gk,jee kay,jufbjx,jay uu ef bee jay x,GroupedGenericPronunciation,p262,train,dump/alphanumeric_features/8868_prompt.pth,dump/alphanumeric_features/8868_seq.pth,dump/alphanumeric/8868_prompt.wav,dump/alphanumeric/8868_seq.wav
pbp,p bee pee,ispepl,eye s pee ee pee l,GroupedGenericPronunciation,p362,train,dump/alphanumeric_features/8869_prompt.pth,dump/alphanumeric_features/8869_seq.pth,dump/alphanumeric/8869_prompt.wav,dump/alphanumeric/8869_seq.wav
5042,five zero four too,9wcoek,nine double you see oh ee kay,GroupedGenericPronunciation,p364,train,dump/alphanumeric_features/8870_prompt.pth,dump/alphanumeric_features/8870_seq.pth,dump/alphanumeric/8870_prompt.wav,dump/alphanumeric/8870_seq.wav
88,double eight,yx5yr3,why eks faaev why r three,GroupedGenericPronunciation,p302,train,dump/alphanumeric_features/8871_prompt.pth,dump/alphanumeric_features/8871_seq.pth,dump/alphanumeric/8871_prompt.wav,dump/alphanumeric/8871_seq.wav
sgct,s jee see tee,15j1a6,one faaev jay one ae six,GroupedGenericPronunciation,p261,train,dump/alphanumeric_features/8873_prompt.pth,dump/alphanumeric_features/8873_seq.pth,dump/alphanumeric/8873_prompt.wav,dump/alphanumeric/8873_seq.wav
88,double eight,kexp0e,kay ee eks p zero ee,GroupedGenericPronunciation,p273,train,dump/alphanumeric_features/8874_prompt.pth,dump/alphanumeric_features/8874_seq.pth,dump/alphanumeric/8874_prompt.wav,dump/alphanumeric/8874_seq.wav
lbf,l bee ef,5243kj,faaev two four three k j,GroupedGenericPronunciation,p256,train,dump/alphanumeric_features/8875_prompt.pth,dump/alphanumeric_features/8875_seq.pth,dump/alphanumeric/8875_prompt.wav,dump/alphanumeric/8875_seq.wav
pbp,p bee p,sr2tq2,s aar two tee q two,GroupedGenericPronunciation,p339,train,dump/alphanumeric_features/8876_prompt.pth,dump/alphanumeric_features/8876_seq.pth,dump/alphanumeric/8876_prompt.wav,dump/alphanumeric/8876_seq.wav
7297,seven too nine seven,y89ob2,why eight nine oo bee too,GroupedGenericPronunciation,p339,train,dump/alphanumeric_features/8877_prompt.pth,dump/alphanumeric_features/8877_seq.pth,dump/alphanumeric/8877_prompt.wav,dump/alphanumeric/8877_seq.wav
nt,en ti,qqqkhv,triple q kay aeych v,GroupedGenericPronunciation,p272,train,dump/alphanumeric_features/8878_prompt.pth,dump/alphanumeric_features/8878_seq.pth,dump/alphanumeric/8878_prompt.wav,dump/alphanumeric/8878_seq.wav
5042,faaev zero four two,2ogu0r,two oo jee uu zero r,GroupedGenericPronunciation,p299,train,dump/alphanumeric_features/8879_prompt.pth,dump/alphanumeric_features/8879_seq.pth,dump/alphanumeric/8879_prompt.wav,dump/alphanumeric/8879_seq.wav
918,nine one eight,8s25k1,eight s too faaev kay one,GroupedGenericPronunciation,p333,train,dump/alphanumeric_features/8880_prompt.pth,dump/alphanumeric_features/8880_seq.pth,dump/alphanumeric/8880_prompt.wav,dump/alphanumeric/8880_seq.wav
bm,bee em,re9nv5,aar ee nine en v faaev,GroupedGenericPronunciation,p307,train,dump/alphanumeric_features/8881_prompt.pth,dump/alphanumeric_features/8881_seq.pth,dump/alphanumeric/8881_prompt.wav,dump/alphanumeric/8881_seq.wav
14,one fo,uqpy5q,uu q pee y five cuu,GroupedGenericPronunciation,p304,train,dump/alphanumeric_features/8882_prompt.pth,dump/alphanumeric_features/8882_seq.pth,dump/alphanumeric/8882_prompt.wav,dump/alphanumeric/8882_seq.wav
8718,eight seven one eight,qjc6o2,cuu j see six oh two,GroupedGenericPronunciation,p301,train,dump/alphanumeric_features/8883_prompt.pth,dump/alphanumeric_features/8883_seq.pth,dump/alphanumeric/8883_prompt.wav,dump/alphanumeric/8883_seq.wav
oqby,oo q bee y,mdxczk,m dee x see z k,GroupedGenericPronunciation,p258,train,dump/alphanumeric_features/8884_prompt.pth,dump/alphanumeric_features/8884_seq.pth,dump/alphanumeric/8884_prompt.wav,dump/alphanumeric/8884_seq.wav
xadw,x ae dee double u,jwsug6,j double u es you jee six,GroupedGenericPronunciation,p262,train,dump/alphanumeric_features/8885_prompt.pth,dump/alphanumeric_features/8885_seq.pth,dump/alphanumeric/8885_prompt.wav,dump/alphanumeric/8885_seq.wav
gf,jee ef,okvcwp,oh kay v see double u p,GroupedGenericPronunciation,p248,train,dump/alphanumeric_features/8887_prompt.pth,dump/alphanumeric_features/8887_seq.pth,dump/alphanumeric/8887_prompt.wav,dump/alphanumeric/8887_seq.wav
505,faaev zero faaev,g0k46c,jee zero kay four six see,GroupedGenericPronunciation,p257,train,dump/alphanumeric_features/8888_prompt.pth,dump/alphanumeric_features/8888_seq.pth,dump/alphanumeric/8888_prompt.wav,dump/alphanumeric/8888_seq.wav
q3v,cuu three v,uposv4,you p oo s v four,GroupedGenericPronunciation,p275,train,dump/alphanumeric_features/8889_prompt.pth,dump/alphanumeric_features/8889_seq.pth,dump/alphanumeric/8889_prompt.wav,dump/alphanumeric/8889_seq.wav
74,seven four,pru071,p r you zero seven one,GroupedGenericPronunciation,p260,train,dump/alphanumeric_features/8891_prompt.pth,dump/alphanumeric_features/8891_seq.pth,dump/alphanumeric/8891_prompt.wav,dump/alphanumeric/8891_seq.wav
569,faaev six nine,jsx3c6,jay es x three see six,GroupedGenericPronunciation,p299,train,dump/alphanumeric_features/8892_prompt.pth,dump/alphanumeric_features/8892_seq.pth,dump/alphanumeric/8892_prompt.wav,dump/alphanumeric/8892_seq.wav
oqby,o cuu bee wai,7mmggf,seven double am double jee ef,GroupedGenericPronunciation,p279,train,dump/alphanumeric_features/8893_prompt.pth,dump/alphanumeric_features/8893_seq.pth,dump/alphanumeric/8893_prompt.wav,dump/alphanumeric/8893_seq.wav
57,five seven,a6z69k,ae six z six nine k,GroupedGenericPronunciation,p251,train,dump/alphanumeric_features/8894_prompt.pth,dump/alphanumeric_features/8894_seq.pth,dump/alphanumeric/8894_prompt.wav,dump/alphanumeric/8894_seq.wav
lndi,l n dee eye,wyemor,double u wai ee am o r,GroupedGenericPronunciation,p253,train,dump/alphanumeric_features/8895_prompt.pth,dump/alphanumeric_features/8895_seq.pth,dump/alphanumeric/8895_prompt.wav,dump/alphanumeric/8895_seq.wav
5042,five zero fo too,lgugxl,el jee you jee eks el,GroupedGenericPronunciation,p298,train,dump/alphanumeric_features/8896_prompt.pth,dump/alphanumeric_features/8896_seq.pth,dump/alphanumeric/8896_prompt.wav,dump/alphanumeric/8896_seq.wav
pbp,p bee p,rb9sfq,aar bee nine es ef cuu,GroupedGenericPronunciation,p360,train,dump/alphanumeric_features/8899_prompt.pth,dump/alphanumeric_features/8899_seq.pth,dump/alphanumeric/8899_prompt.wav,dump/alphanumeric/8899_seq.wav
tc,ti see,2ygysm,two why jee why s m,GroupedGenericPronunciation,p281,train,dump/alphanumeric_features/8900_prompt.pth,dump/alphanumeric_features/8900_seq.pth,dump/alphanumeric/8900_prompt.wav,dump/alphanumeric/8900_seq.wav
